股票代码,企业名称,年份,数字化转型指数(0-100分),人工智能词频数,大数据词频数,云计算词频数,区块链词频数,数字技术运用词频数,总词频数
600725,云维股份,2000,0,0,0,0,0,0,0
600726,龙电股份,2000,0,0,0,0,0,0,0
600727,鲁北化工,2000,0,0,0,0,0,0,0
600728,新太科技,2000,1,0,0,0,0,5,5
600729,重庆百货,2000,0,0,0,0,0,1,1
600730,中国高科,2000,0,0,0,0,0,0,0
600731,湖南海利,2000,0,0,0,0,0,0,0
600732,上海港机,2000,0,0,0,0,0,0,0
600733,前锋股份,2000,0,0,0,0,0,0,0
600734,实达电脑,2000,0,0,0,0,0,4,4
600735,兰陵陈香,2000,0,0,0,0,0,0,0
600736,苏州高新,2000,0,0,0,0,0,0,0
600737,新疆屯河,2000,0,0,0,0,0,0,0
600738,兰州民百,2000,0,0,0,0,0,0,0
600739,辽宁成大,2000,0,0,0,0,0,1,1
600740,山西焦化,2000,0,0,0,0,0,0,0
600741,巴士股份,2000,0,0,0,0,0,1,1
600742,一汽四环,2000,0,0,0,0,0,2,2
600743,ST幸福,2000,0,0,0,0,0,0,0
600744,华银电力,2000,0,0,0,0,0,0,0
600745,ST康赛,2000,0,0,0,0,0,0,0
600746,江苏索普,2000,0,0,0,0,0,0,0
600747,大显股份,2000,0,0,0,0,0,0,0
600748,浦东不锈,2000,0,0,0,0,0,0,0
600749,西藏圣地,2000,0,0,0,0,0,0,0
600750,江中药业,2000,0,0,0,0,0,0,0
600751,天津海运,2000,0,0,0,0,0,0,0
600752,哈慈股份,2000,0,0,0,0,0,0,0
600753,ST冰熊,2000,0,0,0,0,0,0,0
600754,新亚股份,2000,0,0,0,0,0,0,0
600755,厦门国贸,2000,0,0,0,0,0,0,0
600756,浪潮软件,2000,0,0,0,0,0,0,0
600757,华源发展,2000,1,0,0,0,0,10,10
600758,金帝建设,2000,0,0,0,0,0,0,0
600759,PT琼华,2000,0,0,0,0,0,0,0
600760,山东黑豹,2000,0,0,0,0,0,0,0
600761,安徽合力,2000,0,0,0,0,0,0,0
600762,金荔科技,2000,0,0,0,0,0,0,0
600763,ST中燕,2000,0,0,0,0,0,0,0
600764,三星石化,2000,0,0,0,0,0,0,0
600765,力源液压,2000,0,0,0,0,0,0,0
600766,烟台发展,2000,0,0,0,0,0,0,0
600767,运盛实业,2000,0,0,0,0,0,1,1
600768,ST甬华,2000,0,0,0,0,0,0,0
600769,祥龙电业,2000,0,0,0,0,0,0,0
600770,综艺股份,2000,0,0,0,0,0,3,3
600771,东盛科技,2000,0,0,0,0,0,0,0
600772,石油龙昌,2000,0,0,0,0,0,0,0
600773,西藏金珠,2000,0,0,0,0,0,3,3
600774,汉商集团,2000,0,0,0,0,0,0,0
600775,南京熊猫,2000,0,0,0,0,0,0,0
600776,东方通信,2000,0,0,0,0,0,0,0
600777,新潮实业,2000,0,0,0,0,0,0,0
600778,友好集团,2000,0,0,0,0,0,0,0
600779,全兴股份,2000,0,0,0,0,0,0,0
600780,通宝能源,2000,0,0,0,0,0,0,0
600781,民丰实业,2000,0,0,0,0,0,0,0
600782,新华股份,2000,0,0,0,0,0,0,0
600783,鲁信创投,2000,0,0,0,0,0,0,0
600784,鲁银投资,2000,0,0,0,0,0,0,0
600785,新华百货,2000,1,0,0,0,0,6,6
600786,ST东锅,2000,0,0,0,0,0,0,0
600787,中储股份,2000,0,0,0,0,0,1,1
600788,达尔曼,2000,0,0,0,0,0,0,0
600789,鲁抗医药,2000,0,0,0,0,0,0,0
600790,轻纺城,2000,0,0,0,0,0,3,3
600791,天创置业,2000,0,0,0,0,0,0,0
600792,ST马龙,2000,0,0,0,0,0,0,0
600793,宜宾纸业,2000,0,0,0,0,0,0,0
600794,保税科技,2000,0,0,0,0,0,3,3
600795,国电电力,2000,0,0,0,0,0,1,1
600796,钱江生化,2000,0,0,0,0,0,0,0
600797,浙大网新,2000,3,0,0,0,0,23,23
600798,宁波海运,2000,0,0,0,0,0,0,0
600799,ST龙科,2000,2,0,0,0,0,19,19
600800,天津磁卡,2000,0,0,0,0,0,0,0
600801,华新水泥,2000,0,0,0,0,0,0,0
600802,福建水泥,2000,0,0,0,0,0,0,0
600803,威远生化,2000,0,0,0,0,0,0,0
600804,工益股份,2000,0,0,0,0,0,0,0
600805,悦达投资,2000,0,0,0,0,0,0,0
600806,交大科技,2000,0,0,0,0,0,0,0
600807,济南百货,2000,1,0,0,0,0,8,8
600808,马钢股份,2000,0,0,0,0,0,0,0
600809,山西汾酒,2000,0,0,0,0,0,0,0
600810,神马实业,2000,0,0,0,0,0,0,0
600811,东方集团,2000,1,0,0,0,0,6,6
600812,华北制药,2000,0,0,0,0,0,0,0
600813,ST鞍一,2000,0,0,0,0,0,0,0
600814,杭州解百,2000,0,0,0,0,0,1,1
600815,厦工股份,2000,0,0,0,0,0,0,0
600816,鞍山信托,2000,0,0,0,0,0,0,0
600817,宏盛科技,2000,0,0,0,0,0,0,0
600818,ST永久,2000,0,0,0,0,0,0,0
600819,耀皮玻璃,2000,0,0,0,0,0,0,0
600820,隧道股份,2000,0,0,0,0,0,0,0
600821,津劝业,2000,0,0,0,0,0,0,0
600822,物贸中心,2000,0,0,0,0,0,1,1
600823,世茂股份,2000,1,0,0,0,0,5,5
600824,益民百货,2000,0,0,0,0,0,0,0
600825,华联超市,2000,0,0,0,0,0,1,1
600826,兰生股份,2000,0,0,0,0,0,1,1
600827,友谊股份,2000,3,0,0,0,0,24,24
600828,成商集团,2000,0,0,0,0,0,0,0
600829,天鹅股份,2000,0,0,0,0,0,0,0
600830,大红鹰,2000,0,0,0,0,0,0,0
600831,广电网络,2000,0,0,0,0,0,0,0
600832,东方明珠,2000,0,0,0,0,0,0,0
600833,商业网点,2000,0,0,0,0,0,0,0
600834,申通地铁,2000,0,0,0,0,0,0,0
600835,上菱电器,2000,0,0,0,0,0,0,0
600836,界龙实业,2000,0,0,0,0,0,0,0
600837,都市股份,2000,0,0,0,0,0,0,0
600838,上海九百,2000,0,0,0,0,0,0,0
600839,四川长虹,2000,0,0,0,0,0,1,1
600840,浙江创业,2000,0,0,0,0,0,0,0
600841,上柴股份,2000,0,0,0,0,0,0,0
600842,ST中西,2000,0,0,0,0,0,4,4
